anime_name,character_name,gender,affiliation,role,devil_fruit,haki,fighting_style,major_arcs,school,position,school_year,special_roles,trait,question,category,difficulty,source_note
Haikyuu!!,Aaron Murphy,Male,Kamomedai High,coach,,,,,Kamomedai High,coach,,non-Japanese coach,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Aaron Murphy,Male,Kamomedai High,coach,,,,,Kamomedai High,coach,,non-Japanese coach,role coach,Is your character a coach?,role,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Aaron Murphy,Male,Kamomedai High,coach,,,,,Kamomedai High,coach,,non-Japanese coach,signature aaron murphy,Is your character the coach of Kamomedai High?,signature fact,hard,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Aaron Murphy,Male,Kamomedai High,coach,,,,,Kamomedai High,coach,,non-Japanese coach,non-japanese coach,Is your character a non-Japanese volleyball coach?,story fact,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Aaron Murphy,Male,Kamomedai High,coach,,,,,Kamomedai High,coach,,non-Japanese coach,team kamomedai high,Does your character belong to Kamomedai High?,team,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Aikichi Suwa,Male,Kamomedai High,setter,,,,,Kamomedai High,setter,3rd year,captain,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Aikichi Suwa,Male,Kamomedai High,setter,,,,,Kamomedai High,setter,3rd year,captain,captain,Is your character the team captain?,official role,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Aikichi Suwa,Male,Kamomedai High,setter,,,,,Kamomedai High,setter,3rd year,captain,setter,Is your character a setter?,position,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Aikichi Suwa,Male,Kamomedai High,setter,,,,,Kamomedai High,setter,3rd year,captain,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Aikichi Suwa,Male,Kamomedai High,setter,,,,,Kamomedai High,setter,3rd year,captain,signature aikichi suwa,Does your character wear jersey number 1 for Kamomedai High and play as a setter?,signature fact,hard,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Aikichi Suwa,Male,Kamomedai High,setter,,,,,Kamomedai High,setter,3rd year,captain,team kamomedai high,Does your character belong to Kamomedai High?,team,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Akifumi Kaikake,Male,Tsubakihara Academy,libero,,,,,Tsubakihara Academy,libero,2nd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Akifumi Kaikake,Male,Tsubakihara Academy,libero,,,,,Tsubakihara Academy,libero,2nd year,,libero,Is your character a libero?,position,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Akifumi Kaikake,Male,Tsubakihara Academy,libero,,,,,Tsubakihara Academy,libero,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Akifumi Kaikake,Male,Tsubakihara Academy,libero,,,,,Tsubakihara Academy,libero,2nd year,,signature akifumi kaikake,Does your character wear jersey number 12 for Tsubakihara Academy and play as a libero?,signature fact,hard,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Akifumi Kaikake,Male,Tsubakihara Academy,libero,,,,,Tsubakihara Academy,libero,2nd year,,team tsubakihara academy,Does your character belong to Tsubakihara Academy?,team,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Akihiko Seguro,Male,Nohebi Academy,middle blocker,,,,,Nohebi Academy,middle blocker,2nd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Nohebi_Academy
Haikyuu!!,Akihiko Seguro,Male,Nohebi Academy,middle blocker,,,,,Nohebi Academy,middle blocker,2nd year,,middle blocker,Is your character a middle blocker?,position,easy,https://haikyuu.fandom.com/wiki/Nohebi_Academy
Haikyuu!!,Akihiko Seguro,Male,Nohebi Academy,middle blocker,,,,,Nohebi Academy,middle blocker,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Nohebi_Academy
Haikyuu!!,Akihiko Seguro,Male,Nohebi Academy,middle blocker,,,,,Nohebi Academy,middle blocker,2nd year,,signature akihiko seguro,Does your character wear jersey number 10 for Nohebi Academy and play as a middle blocker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Nohebi_Academy
Haikyuu!!,Akihiko Seguro,Male,Nohebi Academy,middle blocker,,,,,Nohebi Academy,middle blocker,2nd year,,team nohebi academy,Does your character belong to Nohebi Academy?,team,easy,https://haikyuu.fandom.com/wiki/Nohebi_Academy
Haikyuu!!,Akinori Konoha,Male,Fukurodani Academy,wing spiker,,,,,Fukurodani Academy,wing spiker,3rd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Fukur%C5%8Ddani_Academy
Haikyuu!!,Akinori Konoha,Male,Fukurodani Academy,wing spiker,,,,,Fukurodani Academy,wing spiker,3rd year,,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Fukur%C5%8Ddani_Academy
Haikyuu!!,Akinori Konoha,Male,Fukurodani Academy,wing spiker,,,,,Fukurodani Academy,wing spiker,3rd year,,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Fukur%C5%8Ddani_Academy
